,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,ISO,MPI Urban,Headcount Ratio Urban,Intensity of Deprivation Urban,MPI Rural,Headcount Ratio Rural,Intensity of Deprivation Rural
0,Afghanistan,ASIA (EX. NEAR EAST)         ,31056997,647500,"48,0","0,00","23,06","163,07",700,"36,0","3,2","12,13","0,22","87,65",1,"46,6","20,34","0,38","0,24","0,38",AFG,0.132,28.8,45.8,0.347,64.66,53.6
1,Albania,EASTERN EUROPE                     ,3581655,28748,"124,6","1,26","-4,93","21,52",4500,"86,5","71,2","21,09","4,42","74,49",3,"15,11","5,22","0,232","0,188","0,579",ALB,0.003,0.8,37.7,0.007,1.87,37.7
2,Algeria,NORTHERN AFRICA                    ,32930091,2381740,"13,8","0,04","-0,39",31,6000,"70,0","78,1","3,22","0,25","96,53",1,"17,14","4,61","0,101","0,6","0,298",DZA,0.003,0.7,36.9,0.011,2.7,40
3,Armenia,C.W. OF IND. STATES ,2976372,29800,"99,9","0,00","-6,47","23,28",3500,"98,6","195,7","17,55","2,3","80,15",4,"12,07","8,23","0,239","0,343","0,418",ARM,0.001,0.2,33.3,0.001,0.39,36.9
4,Azerbaijan,C.W. OF IND. STATES ,7961619,86600,"91,9","0,00","-4,9","81,74",3400,"97,0","137,1","19,63","2,71","77,66",1,"20,74","9,75","0,141","0,457","0,402",AZE,0.009,2.5,37.1,0.035,8.8,40.2
5,Bangladesh,ASIA (EX. NEAR EAST)         ,147365352,144000,"1023,4","0,40","-0,71","62,6",1900,"43,1","7,3","62,11","3,07","34,82",2,"29,8","8,27","0,199","0,198","0,603",BGD,0.1,22.5,44.7,0.231,48.21,47.9
6,Barbados,LATIN AMER. & CARIB    ,279912,431,"649,5","22,51","-0,31","12,5",15700,"97,4","481,9","37,21","2,33","60,46",2,"12,71","8,67","0,06","0,16","0,78",BRB,0.004,1.1,34.2,0.002,0.57,34.3
7,Belize,LATIN AMER. & CARIB    ,287730,22966,"12,5","1,68",0,"25,69",4900,"94,1","115,7","2,85","1,71","95,44",2,"28,84","5,72","0,142","0,152","0,612",BLZ,0.006,1.6,37.9,0.028,6.98,39.9
8,Benin,SUB-SAHARAN AFRICA                 ,7862944,112620,"69,8","0,11",0,85,1100,"40,9","9,7","18,08","2,4","79,52",2,"38,85","12,22","0,316","0,138","0,546",BEN,0.192,41,46.8,0.386,76.9,50.2
9,Bhutan,ASIA (EX. NEAR EAST)         ,2279723,47000,"48,5","0,00",0,"100,44",1300,"42,2","14,3","3,09","0,43","96,48",2,"33,65","12,7","0,258","0,379","0,363",BTN,0.019,4.7,39.5,0.159,35.98,44.2
